year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2019,10200,total,299.7833367329087,109.52777106235426,a25,goa
2019,10262,female,228.03316323663452,77.0650117659589,a25,goa
2019,10262,male,102.45933293980424,33.62766598815408,a25,goa
2019,10262,total,312.2809333383594,103.89678996517294,a25,goa
2019,21720,female,48.22601945992916,26.301775027544817,a25,goa
2019,21720,male,50.65192976787112,27.783757426964932,a25,goa
2019,21720,total,62.21663976503881,39.039643623522466,a25,goa
2019,21740,female,98.75040550700064,63.285640163743224,a25,goa
2019,21740,male,84.55652606817947,49.3510596746811,a25,goa
2019,21740,total,85.2922303067114,63.62840677547854,a25,goa
2019,30051,female,36.809277309941216,13.974659884492654,a25,goa
2019,30051,male,44.19675867704259,16.115321857399355,a25,goa
2019,30051,total,79.36257479829442,32.00011540850183,a25,goa
2019,30052,female,15.080894265637951,7.916038767036464,a25,goa
2019,30052,male,14.188105225525833,6.324906295575966,a25,goa
2019,30052,total,26.68458176233012,13.874711841242569,a25,goa
2019,30060,female,222.00112084233768,90.00580607185529,a25,goa
2019,30060,male,230.33181319064852,106.70247035452893,a25,goa
2019,30060,total,342.0310496000456,172.5531706370142,a25,goa
2019,30152,female,93.90116966382918,32.23039362432859,a25,goa
2019,30152,male,82.4393907423242,30.154818604696413,a25,goa
2019,30152,total,158.64300676141872,61.410537875160585,a25,goa
2019,30420,female,84.23673188344412,32.08814225160765,a25,goa
2019,30420,male,63.89288801122524,22.07910490648012,a25,goa
2019,30420,total,145.94718026961988,56.405625235156656,a25,goa
2021,10130,female,90.94231631061504,18.450028136485138,a25,goa
2021,10130,male,88.37013453945137,19.967305601021476,a25,goa
2021,10130,total,168.71365708591966,36.66028777374733,a25,goa
2021,10262,female,267.5058607915141,92.18544835838804,a25,goa
2021,10262,male,111.54611558156242,38.972530496402854,a25,goa
2021,10262,total,366.1172923127939,129.7087403913142,a25,goa
2021,21720,female,116.58370227842336,38.8173043756611,a25,goa
2021,21720,male,109.42087482119275,37.40926185596113,a25,goa
2021,21720,total,170.21844237418497,59.96909109491456,a25,goa
2021,21740,female,88.38956449088658,64.79837294257494,a25,goa
2021,21740,male,82.27977153266681,62.787310554692695,a25,goa
2021,21740,total,91.9989699145176,76.00070666587685,a25,goa
2021,30052,female,51.990459326881606,19.756167441793934,a25,goa
2021,30052,male,48.56596611327382,18.062024333673484,a25,goa
2021,30052,total,97.223934114383,40.27169747608061,a25,goa
2021,30060,female,186.03361582839196,71.0195721849781,a25,goa
2021,30060,male,234.82435591406747,89.58868887752001,a25,goa
2021,30060,total,349.1347832287259,148.87807681355548,a25,goa
2021,30152,female,78.43097907363013,32.03025384992691,a25,goa
2021,30152,male,65.909642442535,26.021072933776452,a25,goa
2021,30152,total,127.73388842746624,56.978987437332904,a25,goa
2021,30420,female,99.26232739084888,39.03085069480889,a25,goa
2021,30420,male,106.18915146360652,40.12478434945405,a25,goa
2021,30420,total,194.531099158851,78.0790367757792,a25,goa
2017,10110,female,345.83381000188575,204.46885307404617,a50,goa
2017,10110,male,145.80333208099847,85.09546577527628,a50,goa
2017,10110,total,462.40845116791576,270.6179305599222,a50,goa
2017,10130,female,86.0778273703644,40.51562437434805,a50,goa
2017,10130,male,92.09872616876252,42.59922103299468,a50,goa
2017,10130,total,171.70270282285068,81.88295412371488,a50,goa
2017,10180,female,74.87945326745846,46.69961458413208,a50,goa
2017,10180,male,88.24199163322248,54.35274616501662,a50,goa
2017,10180,total,158.48207414435015,99.20777649538904,a50,goa
2017,10200,female,156.0458315681951,91.01221273233816,a50,goa
2017,10200,male,113.43787832662996,68.0649173108683,a50,goa
2017,10200,total,245.52309411022696,145.15377961145705,a50,goa
2017,10261,female,128.49914433716407,82.56779297968325,a50,goa
2017,10261,male,67.41452372857403,42.67867487192471,a50,goa
2017,10261,total,166.03119283213204,112.38413486848094,a50,goa
2017,10262,female,152.36002985127243,97.43346261834805,a50,goa
2017,10262,male,100.39471348227194,65.88298135136479,a50,goa
